Trier Fohren,Trier,Germany,ZQF,49.8635,6.788167
Speyer,Speyer,Germany,ZQC,49.302776,8.451195
Zweibrucken,Zweibruecken,Germany,,49.209525,7.400647
Donaueschingen Villingen,Donaueschingen,Germany,ZQL,47.973331,8.522223
Freiburg,Freiburg,Germany,,48.022653,7.832583
Mengen Hohentengen,Mengen,Germany,,48.053833,9.372833
Schwabisch Hall,Schwaebisch Hall,Germany,,49.118317,9.783956
Finsterwalde Schacksdorf,Soest,Germany,,51.6075,13.738
Braunschweig Wolfsburg,Braunschweig,Germany,BWE,52.319167,10.556111
Kassel Calden,Kassel,Germany,KSF,51.408394,9.377631
Hildesheim,Hildesheim,Germany,,52.179833,9.945667
Bremerhaven,Bremerhaven,Germany,BRV,53.507081,8.572878
Emden,Emden,Germany,EME,53.391186,7.227408
Leer Papenburg,Leer,Germany,,53.271592,7.442344
Wilhelmshaven Mariensiel,Wilhelmshaven,Germany,WVN,53.504833,8.053333
Borkum,Borkum,Germany,BMK,53.5955,6.709167
Norderney,Norderney,Germany,NRD,53.706822,7.230247
Flensburg Schaferhaus,Flensburg,Germany,FLF,54.771772,9.378214
Rendsburg Schachtholm,Rendsburg,Germany,,54.220928,9.600803
Westerland Sylt,Westerland,Germany,GWT,54.91325,8.340472
Amari,Armari Air Force Base,Estonia,,59.260286,24.208467
Kardla,Kardla,Estonia,KDL,58.990756,22.830733
Kuressaare,Kuressaare,Estonia,URE,58.229883,22.509494
Parnu,Parnu,Estonia,EPU,58.419044,24.472819
Tallinn,Tallinn-ulemiste International,Estonia,TLL,59.413317,24.832844
Tartu,Tartu,Estonia,TAY,58.307461,26.690428
Enontekio,Enontekio,Finland,ENF,68.362586,23.424322
Eura,Eura,Finland,,61.116112,22.201389
Halli,Halli,Finland,KEV,61.85605,24.7866
Helsinki Malmi,Helsinki,Finland,HEM,60.254558,25.042828
Helsinki Vantaa,Helsinki,Finland,HEL,60.317222,24.963333
Hameenkyro,Hameenkyro,Finland,,61.689656,23.073744
Hanko,Hanko,Finland,,59.848864,23.083583
Hyvinkaa,Hyvinkaa,Finland,HYV,60.654444,24.881111
Kiikala,Kikala,Finland,,60.462502,23.6525
Immola,Immola,Finland,,61.249172,28.903711
Kitee,Kitee,Finland,,62.166111,30.073611
Ivalo,Ivalo,Finland,IVL,68.607269,27.405328
Joensuu,Joensuu,Finland,JOE,62.662906,29.60755
Jyvaskyla,Jyvaskyla,Finland,JYV,62.399453,25.678253
Kauhava,Kauhava,Finland,KAU,63.127078,23.051442
